"Sample","Time","ColonyFormingUnitsPerDroplet","Likelihood","LowerCI","UpperCI","GridSize","ExcludedWellPositions","ExcludedGridPositions","TotalExclusions"
"SPAC16A10.05c",6,202.73142313916,0.0622203018688754,84.0491451003955,446.457902444101,4,"","",0
"SPBC16E9.11c",6,17.3343293759952,0.0384049056031498,7.16217585297602,38.4719592955331,4,"","",0
"SPBC215.04",6,17.9156316675693,0.0127113295209574,7.90752225836125,36.5944978963587,4,"","",0
"SPBC725.02",6,14.034648734083,0.0451799116984794,5.698564692125,31.9851914674685,4,"","",0
"SPBC839.11c",6,1.69036120938219,0.0236022537512753,0.646742626482394,3.65461441839518,4,"","",0
"SPBP8B7.25",6,89.9194856766556,0.066844230772048,37.2150946193749,198.875052314951,4,"","",0
"SPAC17H9.11",8,3.65338879070166,0.0193751477099096,1.45276759553064,8.42177086073024,4,"","",0
"SPAC23E2.01",8,0,1,0,0.320115312805095,4,"","",0
"SPAC8E11.07c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC227.17c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.13c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC23G7.06c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC691.04",8,0,1,0,0.320115312805095,4,"","",0
"SPCC794.08",8,0,1,0,0.320115312805095,4,"","",0
"SPAC4F10.20",8,0,1,0,0.320115312805095,4,"","",0
"SPBC119.06",8,0,1,0,0.320115312805095,4,"","",0
"SPBC18E5.07",8,2.85361923866632,0.00382939532922225,1.29599399699921,5.56383587104594,4,"","",0
"SPBC405.04c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC776.15c",8,0,1,0,0.320115312805095,4,"","",0
"SPAC22F3.10c",8,0,1,0,0.320115312805095,4,"","",0
"SPBC1711.13",8,0,1,0,0.320115312805095,4,"","",0
"SPBC29A3.01",8,0,1,0,0.320115312805095,4,"","",0
"SPCC162.12",8,0.941300281154181,0.00764556392943595,0.286778454965875,2.26828903560188,4,"","",0
"SPAC26F1.10c",8,0,1,0,0.320115312805095,4,"","",0
"SPCC1753.02c",8,13.925233091935,0.000901346371058345,6.10239191985786,28.7844692675946,4,"","",0
"SPAC227.04",8,0,1,0,0.320115312805095,4,"","",0
"SPBC17G9.10",8,0.635287917317113,0.0985932460194819,0.156600134194172,1.67862762151407,4,"","",0
"SPAC1556.02c",8,0,1,0,0.320115312805095,4,"","",0
"SPCC4G3.04c",8,0,1,0,0.320115312805095,4,"","",0
"972 h-",8,0,1,0,0.320115312805095,4,"","",0
"SPBC1683.01",8,0,1,0,0.320115312805095,4,"","",0
"SPAC3A11.11c",8,0,1,0,0.320115312805095,4,"","",0
"SPACUNK4.15",8,0,1,0,0.320115312805095,4,"","",0
"SPBC16E9.19",8,89.9194856766556,0.066844230772048,37.2150946193749,198.875052314951,4,"","",0
"SPBC9B6.03",8,0,1,0,0.320115312805095,4,"","",0
